,A2M,AGT,AHCYL1,AKAP12,ALDH1L1,ALDOC,ANXA1,APOD,AQP4,ARL4A,ARSJ,ATP1A2,ATP13A4,BCAN,BCAT1,BEX1,C1S,C3,C8orf4,C21orf62,CA2,CAND1,CAV1,CCDC80,CDO1,CFI,CHI3L1,CHI3L2,CHL1,COL1A2,CPNE8,CRISPLD1,CXCR7,DDIT3,DDX3Y,DGKG,DIRAS3,DSCAM,DUSP6,EDNRB,EFEMP1,EGFR,ELOVL2,EMP1,ETV1,FABP5,FBXO32,FKBP5,GBP1,GRIA2,ID2,IFI16,IGFBP3,IGFBP5,IL1RAP,KLHL4,LANCL2,LHFPL3,LPL,LRRN3,MAOB,MEG3,METTL7B,MLLT11,MTHFD2,NDP,NLGN3,NTRK2,PDZD2,PEG10,PFN2,PHGDH,PHYHIPL,PIK3R3,PLAT,PLS3,POSTN,PSAT1,RAB3IP,RCAN1,RFTN2,RGS2,RGS16,RHOJ,RND3,RPS4Y1,SCG2,SCG3,SCG5,SERPINA3,SERPINE1,SLC1A2,SLC4A4,SLC20A1,SLC38A1,SNRPN,SOD2,SPP1,SPRY2,TFRC,TRIB2,TRIM22,TSPAN7,VEGFA,ZEB1,ZNF577
TCGA-02-0004,0.708618048579365,0.359460780884906,0.390051503916771,0.341765401449365,0.525878130294248,0.222801251710784,0.494727415590263,0.520481953046359,0.792364448719901,0.375356204958805,0.36358261981063,0.763917038564458,0.450877258796843,0.472894828879735,0.338577795702615,0.282105707885298,0.834619260389816,0.447613060403175,0.464557916376101,0.635296583501891,0.459646835278382,0.312140942528779,0.328700160156283,0.595661015084094,0.732011273287222,0.471333690517546,0.703893269997732,0.572180863353798,0.708010939216292,0.73920443511578,0.311192695523598,0.697765771600998,0.525409788785591,0.391484354288549,0.369142507343063,0.345271767770789,0.723743744710796,0.0904419491161464,0.373621606778595,0.467452527089327,0.619555105016486,0.460486256897733,0.216911502435253,0.572746973123521,0.344170297926356,0.349614045215248,0.515487887194791,0.465756957368171,0.682347559140086,0.540379371080803,0.366381827623944,0.443981245463361,0.271324883682783,0.470390128921242,0.333032647081602,0.498310634488402,0.528085072901992,0.639112699498353,0.615836560167661,0.690435123155315,0.724162216521772,0.379323264354603,0.435839475255,0.416477023068407,0.2501398988249,0.429746699147013,0.392962376487936,0.581144596563462,0.399446422753619,0.178121550630308,0.43690525240611,0.251295969089324,0.383007162727538,0.309681530108981,0.435893681448132,0.432764899980578,0.897969939745955,0.284855713154077,0.264092572936964,0.566324623361293,0.65321498270346,0.530995194925867,0.400458008874168,0.458785449591164,0.42228792697211,0.522382126507407,0.593445460135735,0.415024297092481,0.611687463270534,0.563904525323327,0.416669067866931,0.386887669110992,0.449245159600009,0.320440327667937,0.113032725052226,0.174882188528766,0.393036294024024,0.532467435131321,0.334495576576235,0.097697300231734,0.314070683004263,0.553943928850045,0.31945877860154,0.237528936405229,0.417983955237464,0.255283292178897
TCGA-02-0015,0.6454253965275,0.801100537982116,0.344773835121783,0.541288343891517,0.393862782809351,0.248256801302629,0.410223236864509,0.549078931217909,0.709749207931576,0.465178827340587,0.524582567973354,0.759068249789369,0.542643466217974,0.551878310681106,0.436558698447856,0.385172808696967,0.629458175937763,0.380491024459744,0.533681148875938,0.649236632535634,0.42351206017254,0.304454762379335,0.312148360103733,0.347591502589158,0.63629000055768,0.579068867482469,0.681635240240477,0.618386881172642,0.826502934374879,0.359946902118288,0.479862779872388,0.606347876068751,0.377651004987261,0.388182743864385,0.334181917769369,0.648118155731039,0.687247312907469,0.387698888694999,0.527041288535179,0.526984312835885,0.636305778443638,0.32160006512062,0.388966856984734,0.579305535771843,0.598701816909837,0.743241277074816,0.485500744454798,0.417487537384153,0.449703350863215,0.702483491447808,0.532666104879291,0.513498603087691,0.420842967797938,0.532657399838762,0.518532831504465,0.533846099501864,0.350064989633996,0.82998458787633,0.828162242048153,0.648031377358268,0.638945944693983,0.40683301418938,0.459143785961561,0.639774283706791,0.239949505286738,0.533463605296817,0.56939176409475,0.547506521446844,0.487439990074392,0.293627188140494,0.370640971168252,0.17533428111019,0.497968143068344,0.421481596515295,0.485137853077758,0.345414154326921,0.575298908973963,0.296923451481936,0.47178935699591,0.748930958061201,0.615173929850238,0.690676373455726,0.572994381388548,0.5462293493903,0.441932742028783,0.48369154686492,0.732704836706423,0.630254959178654,0.562122666635419,0.511197661385448,0.351765880416966,0.503285343760466,0.644157428237764,0.308006809525831,0.273386670574295,0.283144097745075,0.562705287272751,0.741042015082082,0.572179190614039,0.187994839297285,0.528481020628868,0.455370241569883,0.341637980287583,0.488790959606622,0.528868893658675,0.361690922012601
TCGA-02-0016,0.650018108588356,0.694935970448809,0.62576696444624,0.308325577867983,0.699560425425159,0.554000363833492,0.439214690287471,0.57747584783229,0.873164644796051,0.503551764091488,0.573641159826799,0.933682934945063,0.775143730530427,0.696359790859048,0.420719918715912,0.507254827029675,0.543939934397237,0.465800385993054,0.544418489676552,0.784256812912102,0.682014977907305,0.371272556742011,0.190609101735505,0.555728504050064,0.52203063131256,0.291625217006742,0.740285370352452,0.481420197708768,0.645185174084383,0.268994527374781,0.332566963633942,0.555008302045551,0.558810684339118,0.487552539736833,0.41843234297099,0.826221214797904,0.768908297386086,0.400335445234093,0.601477914935465,0.751863516612597,0.556714043635188,0.729420379585979,0.567611837124538,0.630231506148562,0.593975021026601,0.825974829901623,0.5817505396342,0.579476217514683,0.514366639586897,0.744122924454437,0.491005087065488,0.314747491888494,0.329913587827839,0.383117258291339,0.529823529163257,0.616923275806785,0.445403470670386,0.80859521837165,0.999898875820572,0.791608875041511,0.72940261144442,0.479416249547515,0.614176213436099,0.521059306240683,0.243130035979133,0.650168007091688,0.697224507081572,0.731149812031028,0.782354365432076,0.181119221939188,0.465551632011232,0.383038536326649,0.638848085633185,0.338582184636552,0.411868153648475,0.415478640013208,0.271622597039875,0.424519070438286,0.551779056215596,0.551798191137275,0.743795990649757,0.457477788486948,0.56239984893398,0.482643507333659,0.383273291166637,0.527432146346412,0.673695180229565,0.84627552390385,0.767197140743783,0.490634780771669,0.340111937014561,0.711941792926732,0.823197400161728,0.321307125277275,0.236224151626642,0.496311838677693,0.427797023341605,0.660397072344192,0.646845903048739,0.446262968277907,0.593920532059155,0.609698641763301,0.603503483073159,0.299222874337252,0.507899036059522,0.515559643377269
TCGA-02-0025,0.457908153927352,0.238505020496838,0.274628443022912,0.222932882082488,0.289516123128261,0.196698469933163,0.44808347779597,0.426095073438557,0.524055571727543,0.314593644461379,0.305508498262216,0.625779834551525,0.310946615376181,0.29902510293764,0.204862321651076,0.345414385591105,0.684310836484981,0.319870582727175,0.358760463743687,0.480783978552621,0.37591313584026,0.184935063241807,0.383204332847672,0.419813485476541,0.742361353781114,0.33927880497712,0.643627974670344,0.350293328749337,0.407132048149117,0.581755691930082,0.233402231684744,0.436669931832041,0.257848198974919,0.283246742794982,0.25912405757688,0.487484186450079,0.661113289977371,0.0440786954623616,0.281851448979175,0.301465992871056,0.605309930089853,0.23701470882075,0.119469958635298,0.383397365977076,0.220678830633537,0.344897048196357,0.575977287165072,0.403833699459721,0.578262211925092,0.392654563443753,0.28466511665887,0.412285193429751,0.0504226779712567,0.224799957714085,0.31860241430989,0.401222029886785,0.2114080756561,0.451345027527587,0.488575243268454,0.496055277032893,0.526924841341251,0.222299275967337,0.305938626430999,0.389016308591709,0.201900064240347,0.291200775893976,0.316062374793808,0.527155641822061,0.345196643751612,0.0347690433409556,0.239007293990741,0.0932464461544875,0.290025791628034,0.254921229241008,0.203463212951289,0.372520368772351,0.555030522205858,0.211094316121348,0.253675229442508,0.429930939280783,0.35769878153196,0.583614684893699,0.299218136067045,0.246551373788157,0.287621460999429,0.408416901073694,0.354596517879153,0.220615885047862,0.544488907801347,0.383753089235612,0.435215371068683,0.318575535584852,0.394889322479432,0.26596737253237,0.0892560775110594,0.185563586571366,0.44970920527682,0.438585957311163,0.365653005375154,0.0800316880466138,0.233388593474515,0.526038357676321,0.129974241675145,0.14257594792738,0.307868957725047,0.26998021126166
TCGA-02-0039,0.618217125614444,0.550623768413933,0.465567399684206,0.621482821201665,0.666895614228882,0.433533783285671,0.669063196934635,0.559480806929098,0.819764384552081,0.241101933179609,0.57829821126723,0.983746080459835,0.571344627499845,0.49259571661455,0.356082727940208,0.442875941589356,0.775418351870766,0.506470362711352,0.651419412394607,0.644103256288029,0.767523947919456,0.297599731799362,0.49248407159014,0.509896921481629,0.727292427503896,0.366199396797348,0.821891325082101,0.658041777824533,0.761029666922143,0.345549784677077,0.39739102482806,0.596713350434188,0.449491302401873,0.526193530791046,0.366996999496105,0.709145865381573,0.801782931268673,0.223629015120058,0.497758119644617,0.429381045822057,0.742590311792144,0.376631130486495,0.255640516940775,0.723992452176787,0.328972857250037,0.591153952373663,0.719677607853148,0.393554629228743,0.761150746737347,0.640187608446033,0.517778116725827,0.454774785247145,0.525352087226798,0.677149822026861,0.499082875269792,0.449376226544448,0.337158868812231,0.74128705269031,0.671507654462568,0.581083047016925,0.772218542572598,0.353402191713464,0.556977156535373,0.574335599133276,0.277051631039313,0.567550126183695,0.554577574743145,0.786577507930218,0.497616025977187,0.186170222472674,0.380808565549323,0.285668311111403,0.497600015423111,0.359705115800035,0.494775153288224,0.538278030165481,0.117237282225767,0.393968502051623,0.481323439832642,0.596790401225682,0.622655251204473,0.599196587371466,0.459695028646805,0.387015118416163,0.516635563560537,0.499649366344913,0.75523384634642,0.689944808141381,0.686362732569497,0.65074034937507,0.562729233990136,0.657982182984359,0.74076030546119,0.374278722648243,0.403161762202396,0.303074985503463,0.605455112960002,0.882263583709276,0.482083787203644,0.310780865180521,0.387922216370565,0.639113300267495,0.432848331439267,0.475862486153336,0.39925418634808,0.328287262452258
TCGA-02-0048,0.37392618120976,0.579500615118818,0.592833620923618,0.226028430119274,0.655192722046204,0.551400199889109,0.346205076858976,0.626460400689168,0.869682155913767,0.320051914219137,0.160175394369409,0.953298707248714,0.619209782471435,0.68967430234548,0.437082636854496,0.518186014755811,0.26151520472148,0.288323181727929,0.525517472410311,0.67976874683603,0.54901114447529,0.350703156626493,0.0557553466206191,0.430908743205072,0.833870584001907,0.157015863732774,0.452282540998308,0.328851245857038,0.824227611106177,0.151401292398754,0.381782311441393,0.73986969570293,0.480109893598671,0.388536875586199,0.391522336447635,0.596989044156192,0.55396819186601,0.365848029906363,0.480398094028364,0.662796943754105,0.563984757911343,0.746063994885423,0.262291502175199,0.412335826624852,0.608551218431878,0.23366579233514,0.23840793471409,0.36808531916798,0.53988479753501,0.788546263092179,0.361595472454892,0.385281278139666,0.330099790928436,0.486592746942457,0.376478921224923,0.549948523650655,0.65981312506036,0.964365603748927,0.724226331638681,0.704618028329565,0.488649165589577,0.382004332513156,0.361563450184926,0.630657258798335,0.303966060606269,0.476968800026562,0.690090591855037,0.752037673104062,0.625070828247012,0.204563597587135,0.455632563087048,0.319124238761943,0.548023305965433,0.292512762048467,0.3538887794831,0.307934687264042,0.411099961078532,0.534242473567019,0.347912931257157,0.535006738410205,0.775562300030007,0.427860223104318,0.376684366062822,0.446444784146343,0.201686930335199,0.454960767213638,0.458368713035463,0.80366290933408,0.539322120505608,0.335599957913347,0.222496831203036,0.539444787825478,0.68992271753067,0.262257464517613,0.364483298982726,0.208554639833884,0.287323213570357,0.502781660734525,0.521995022714063,0.309583543055741,0.506997926280035,0.572387401550394,0.437691059983848,0.294924252458699,0.5421477046126,0.368548879647486
TCGA-02-0051,0.335741593702384,0.0856719928757808,0.356392366330904,0.539978489754157,0.382730715492039,0.341112590486746,0.59744644802469,0.401722159176215,0.528834357568164,0.569722427956112,0.628608140562575,0.305548739928273,0.399074249408497,0.372127382182446,0.516860292419825,0.337515648268914,0.683317756991213,0.203400922060494,0.651280345884432,0.485342926893344,0.438248904998012,0.367226939289508,0.566926550269874,0.401098188010131,0.669335415168098,0.341484300217546,0.727623886296984,0.414635939936126,0.630448103730033,0.566908501763683,0.320005046462439,0.333427805041003,0.300963763046568,0.466124002422604,0.435272416036538,0.497548092473566,0.843598992911968,0.137530929790292,0.532831281302717,0.236821559743228,0.520684308481848,0.382871165685667,0.176942184888232,0.776193400919612,0.575575394436365,0.487869717760015,0.544794487515101,0.556739317066636,0.631571377124398,0.471425669077401,0.407539207637536,0.486131591921426,0.324710492565261,0.449363220372837,0.506471582785595,0.678959147159051,0.389959811151986,0.469707451288065,0.397751338653095,0.377858603284577,0.389849374488233,0.227927138093438,0.492620850283558,0.462942543013205,0.336625970505719,0.573310053335402,0.352475840487564,0.600623931714195,0.547231900985826,0.147443989776764,0.399883208010185,0.168630922368108,0.276760865406307,0.274901720107476,0.366040113276375,0.508978375521343,0.672719435498215,0.306283806362213,0.299666794867452,0.419573623410707,0.432237439817941,0.598472713853615,0.511845134613712,0.421861308860656,0.476070370106863,0.573067815533308,0.814578904221098,0.254849829729824,0.656099297037297,0.438088992708897,0.583130827282368,0.330958557253757,0.440597149898484,0.442969409753474,0.388315549784456,0.237003794963309,0.525250908702704,0.765824370035837,0.537126825776057,0.272926825711094,0.343706727638913,0.609243734193452,0.197181570904575,0.492814264638989,0.458405804866228,0.32702580598566
TCGA-02-0059,0.681261117069555,0.406914269949124,0.387560185126268,0.547209351799797,0.454030079713403,0.342335187449359,0.509229982406325,0.575128785891743,0.704165400174883,0.453587451632966,0.628861291256946,0.716781447172221,0.464561417254173,0.450525749625795,0.430101893403635,0.411424877665594,0.712653309634463,0.494662420133659,0.601191302705251,0.662742597863138,0.58049327977288,0.334805390450072,0.42189089083214,0.443278574837287,0.652104999004267,0.516747955960665,0.690211766048859,0.461800985890541,0.775538604792978,0.476189004652192,0.464928362813085,0.541344775456474,0.351278442988861,0.43175036852814,0.114502410697649,0.611486419042471,0.790537504513499,0.206011576444896,0.566583749680378,0.388496660771408,0.677123805892825,0.29650690387182,0.310385904808649,0.650345953731234,0.476643099781345,0.564621355410114,0.642071331377772,0.522025091779766,0.585171835649006,0.600198256286445,0.460891961665055,0.486314408668415,0.322640125878926,0.459822758226156,0.545974765008626,0.56707266293927,0.37880200614926,0.698856156619378,0.700117531978137,0.536987296944396,0.476630486027757,0.45147134010453,0.54539264365322,0.490832425862517,0.303231508868843,0.535465306842091,0.521151302667607,0.584890892955464,0.582717887223783,0.28322724238379,0.382577311418833,0.218532759675583,0.396568073122169,0.378519236288615,0.418555617805602,0.550756929042562,0.741963920119725,0.276611901979533,0.493345473692661,0.615272838528492,0.591267718746429,0.720175693592155,0.448012172547249,0.567564703575083,0.457853193755316,0,0.72053930328235,0.498102534748458,0.564711344440038,0.638648858376383,0.467883585082178,0.512065577734967,0.664997089137968,0.356016098269908,0.359564949374628,0.294555539810321,0.622222912509359,0.759264569255238,0.576732087794034,0.214604774260868,0.409135437285412,0.528524614991992,0.429174104916613,0.433815048872951,0.497288374289622,0.367661579304384
TCGA-02-0068,0.737159252264227,0.485807723631435,0.589942452038516,0.317135143225552,0.494780154160655,0.306927840920439,0.483650097870791,0.513868083412038,0.813635846195914,0.335946525875895,0.361451585708814,0.796961736479628,0.58428557405421,0.6186501139382,0.267126243858478,0.394685631437801,0.761730541374065,0.542006315882546,0.551408332391807,0.717300547079141,0.611820468566904,0.24559627694012,0.187017261435481,0.446985498417273,0.803693631747681,0.417169144557126,0.68339273798671,0.73867461271641,0.778070242842416,0.3657024290143,0.227857205572717,0.732136112987548,0.563035449935407,0.335492073641522,0.294228602259198,0.587817673478557,0.679208875268162,0.289854779825846,0.386750855850695,0.562641019694252,0.676976057120409,0.715014811582264,0.310772366512088,0.581150087488953,0.440894123562573,0.62029814638059,0.594011943178776,0.422980130957788,0.786561639968837,0.558590392609004,0.515441439140786,0.360654150656045,0.164926718053552,0.476803360219122,0.420939181433737,0.497563927435776,0.722429459378836,0.819104707235227,0.666663421228309,0.618225672700436,0.755461672910845,0.366698233456747,0.484192274556793,0.522404847811256,0.15775837714909,0.6315517244547,0.591434427298535,0.676978629491547,0.505103313389228,0.0217635460127492,0.420512237662965,0.284384515675004,0.46421664341089,0.288236390898476,0.369618864071851,0.30615332335599,0.593256133768058,0.407216640624341,0.393997027471639,0.827925367867307,0.662437015448633,0.536658356286718,0.408842379183535,0.492447247390442,0.336602480516076,0.46607810470709,0.503148311324375,0.553980703529771,0.570197666146682,0.601013541666909,0.286832611220329,0.56278678739207,0.655114644078456,0.188919685364987,0.120557213455691,0.275428922484141,0.613470293874026,0.54971056744075,0.431638732208177,0.269025121462139,0.409387721864784,0.547009577745887,0.443690290989541,0.300308896130534,0.446764274499408,0.167401094100547
TCGA-02-0070,0.631349532371714,0.5800858834941,0.397996242790233,0.465239141836503,0.552055194443776,0.395102507507109,0.464306362697621,0.459751229788178,0.753102895218512,0.356400545520023,0.46554668858157,0.854118820397987,0.557263518542041,0.570200452402685,0.361759647405641,0.442683460775271,0.67967830659641,0.354291653553854,0.606952288438101,0.67375583499142,0.606809498877892,0.295512392114863,0.367150559552925,0.394881233615205,0.661442981376446,0.41619641981076,0.674925188549584,0.562280125188836,0.747329803461126,0.277608167815282,0.419042691710933,0.681256780280179,0.424225586619454,0.459835106173196,0.27224848985559,0.655215159788855,0.7667052484003,0.360321766519617,0.48586674138059,0.545340423843162,0.675240846417597,0.372265877863721,0.169514972944229,0.663088356462551,0.563012645617993,0.680410560751329,0.515044140437518,0.427692077788844,0.562072431283076,0.752224190232609,0.425275639077609,0.441140657598098,0.24478182426203,0.502926495680188,0.506574458143979,0.518760263705175,0.309167617801785,0.893783563461674,0.645604324005535,0.629897472382508,0.615514170144499,0.572731798688999,0.516874043570662,0.469874310637145,0.184372076904752,0.492678702078129,0.559183688641919,0.610434156944744,0.589336250527521,0.0989015413071438,0.327464959315946,0.20574158304489,0.481942524795816,0.329862085829689,0.406651486901383,0.320287967361851,0.302886413350102,0.350761456272986,0.524389505926058,0.873430559225682,0.64477614455632,0.594180311467993,0.531801044518699,0.477437164686274,0.344834591143067,0.420521046281156,0.595806714514629,0.578339457334616,0.629462827237695,0.564482110725189,0.39659345304488,0.534896038746825,0.652171645246771,0.239283534345962,0.383487625238893,0.440459661234023,0.532691731845319,0.638322056434859,0.541466799363638,0.307423726368222,0.458967384999617,0.536820646750673,0.415460504385066,0.428396799187539,0.427608600815183,0.353882114265781
